timestamp,message
1780621264700,"START RequestId: 196a221f-ccf1-4231-9769-f0e4e8b5db42 Version: $LATEST
"
1780621264710,"[2026-06-05 01:01:04,710] INFO: 下载 S3 -> 本地: s3://sample-batch-processor/input/app-logs-2026-06-04.tar.gz  ->  /tmp/app-logs-2026-06-04.tar.gz
"
1780621264710,"[INFO] 2026-06-05T01:01:04.710Z 196a221f-ccf1-4231-9769-f0e4e8b5db42 下载 S3 -> 本地: s3://sample-batch-processor/input/app-logs-2026-06-04.tar.gz  ->  /tmp/app-logs-2026-06-04.tar.gz
"
1780621264730,"[2026-06-05 01:01:04,730] INFO: 解压 -> /tmp/app-logs-2026-06-04/ (files=24, total_size=157286400)
"
1780621264730,"[INFO] 2026-06-05T01:01:04.730Z 196a221f-ccf1-4231-9769-f0e4e8b5db42 解压 -> /tmp/app-logs-2026-06-04/ (files=24, total_size=157286400)
"
1780621264750,"[2026-06-05 01:01:04,750] INFO: 启动批处理进程：python log_analytics.py --input-dir /tmp/app-logs-2026-06-04/ --output-bucket s3://sample-batch-processor/metrics/2026-06-05/ --rollup-window 60 --max-concurrency 8 --request-timeout 60 --log-level INFO --db-host db-primary.example.local --db-port 3306 --db-name sample_app --db-user app --db-pass REDACTED --on-conflict overwrite
"
1780621264750,"[INFO] 2026-06-05T01:01:04.750Z 196a221f-ccf1-4231-9769-f0e4e8b5db42 启动批处理进程：python log_analytics.py --input-dir /tmp/app-logs-2026-06-04/ --output-bucket s3://sample-batch-processor/metrics/2026-06-05/ --rollup-window 60 --max-concurrency 8 --request-timeout 60 --log-level INFO --db-host db-primary.example.local --db-port 3306 --db-name sample_app --db-user app --db-pass REDACTED --on-conflict overwrite
"
1780621266700,"[2026-06-05 01:01:06,000] INFO: [worker stdout] [2026-06-05 01:01:06,000] INFO: [进度] 1/112 | shard=shard-0 | service=api-gateway | window=2026-06-04T00:00:00Z/PT60S
"
1780621266700,"[INFO] 2026-06-05T01:01:06.000Z 196a221f-ccf1-4231-9769-f0e4e8b5db42 [worker stdout] [2026-06-05 01:01:06,000] INFO: [进度] 1/112 | shard=shard-0 | service=api-gateway | window=2026-06-04T00:00:00Z/PT60S
"
1780621266780,"[2026-06-05 01:01:06,080] INFO: [worker stdout] [2026-06-05 01:01:06,080] INFO: 聚合中 | service=api-gateway | window=2026-06-04T00:00:00Z | count=1000 | p50_ms=40 | p99_ms=180 | err_rate=0.000
"
1780621266780,"[INFO] 2026-06-05T01:01:06.080Z 196a221f-ccf1-4231-9769-f0e4e8b5db42 [worker stdout] [2026-06-05 01:01:06,080] INFO: 聚合中 | service=api-gateway | window=2026-06-04T00:00:00Z | count=1000 | p50_ms=40 | p99_ms=180 | err_rate=0.000
"
1780621266900,"[2026-06-05 01:01:06,200] INFO: [worker stdout] [2026-06-05 01:01:06,200] INFO: 写入指标 | service=api-gateway | window=2026-06-04T00:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=api-gateway/2026-06-04T00:00:00Z.json | engine=duckdb
"
1780621266900,"[INFO] 2026-06-05T01:01:06.200Z 196a221f-ccf1-4231-9769-f0e4e8b5db42 [worker stdout] [2026-06-05 01:01:06,200] INFO: 写入指标 | service=api-gateway | window=2026-06-04T00:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=api-gateway/2026-06-04T00:00:00Z.json | engine=duckdb
"
1780621267050,"[2026-06-05 01:01:06,350] INFO: [worker stdout] [2026-06-05 01:01:06,350] INFO: [进度] 2/112 | shard=shard-0 | service=auth-svc | window=2026-06-04T01:00:00Z/PT60S
"
1780621267050,"[INFO] 2026-06-05T01:01:06.350Z 196a221f-ccf1-4231-9769-f0e4e8b5db42 [worker stdout] [2026-06-05 01:01:06,350] INFO: [进度] 2/112 | shard=shard-0 | service=auth-svc | window=2026-06-04T01:00:00Z/PT60S
"
1780621267130,"[2026-06-05 01:01:06,430] INFO: [worker stdout] [2026-06-05 01:01:06,430] INFO: 聚合中 | service=auth-svc | window=2026-06-04T01:00:00Z | count=1047 | p50_ms=43 | p99_ms=187 | err_rate=0.013
"
1780621267130,"[INFO] 2026-06-05T01:01:06.430Z 196a221f-ccf1-4231-9769-f0e4e8b5db42 [worker stdout] [2026-06-05 01:01:06,430] INFO: 聚合中 | service=auth-svc | window=2026-06-04T01:00:00Z | count=1047 | p50_ms=43 | p99_ms=187 | err_rate=0.013
"
1780621267250,"[2026-06-05 01:01:06,550] INFO: [worker stdout] [2026-06-05 01:01:06,550] INFO: 写入指标 | service=auth-svc | window=2026-06-04T01:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=auth-svc/2026-06-04T01:00:00Z.json | engine=duckdb
"
1780621267250,"[INFO] 2026-06-05T01:01:06.550Z 196a221f-ccf1-4231-9769-f0e4e8b5db42 [worker stdout] [2026-06-05 01:01:06,550] INFO: 写入指标 | service=auth-svc | window=2026-06-04T01:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=auth-svc/2026-06-04T01:00:00Z.json | engine=duckdb
"
1780621267400,"[2026-06-05 01:01:06,700] INFO: [worker stdout] [2026-06-05 01:01:06,700] INFO: [进度] 3/112 | shard=shard-0 | service=billing-svc | window=2026-06-04T02:00:00Z/PT60S
"
1780621267400,"[INFO] 2026-06-05T01:01:06.700Z 196a221f-ccf1-4231-9769-f0e4e8b5db42 [worker stdout] [2026-06-05 01:01:06,700] INFO: [进度] 3/112 | shard=shard-0 | service=billing-svc | window=2026-06-04T02:00:00Z/PT60S
"
1780621267480,"[2026-06-05 01:01:06,780] INFO: [worker stdout] [2026-06-05 01:01:06,780] INFO: 聚合中 | service=billing-svc | window=2026-06-04T02:00:00Z | count=1094 | p50_ms=46 | p99_ms=194 | err_rate=0.026
"
1780621267480,"[INFO] 2026-06-05T01:01:06.780Z 196a221f-ccf1-4231-9769-f0e4e8b5db42 [worker stdout] [2026-06-05 01:01:06,780] INFO: 聚合中 | service=billing-svc | window=2026-06-04T02:00:00Z | count=1094 | p50_ms=46 | p99_ms=194 | err_rate=0.026
"
1780621267600,"[2026-06-05 01:01:06,900] INFO: [worker stdout] [2026-06-05 01:01:06,900] INFO: 写入指标 | service=billing-svc | window=2026-06-04T02:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=billing-svc/2026-06-04T02:00:00Z.json | engine=duckdb
"
1780621267600,"[INFO] 2026-06-05T01:01:06.900Z 196a221f-ccf1-4231-9769-f0e4e8b5db42 [worker stdout] [2026-06-05 01:01:06,900] INFO: 写入指标 | service=billing-svc | window=2026-06-04T02:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=billing-svc/2026-06-04T02:00:00Z.json | engine=duckdb
"
1780621267750,"[2026-06-05 01:01:07,050] INFO: [worker stdout] [2026-06-05 01:01:07,050] INFO: [进度] 4/112 | shard=shard-0 | service=notif-svc | window=2026-06-04T03:00:00Z/PT60S
"
1780621267750,"[INFO] 2026-06-05T01:01:07.050Z 196a221f-ccf1-4231-9769-f0e4e8b5db42 [worker stdout] [2026-06-05 01:01:07,050] INFO: [进度] 4/112 | shard=shard-0 | service=notif-svc | window=2026-06-04T03:00:00Z/PT60S
"
1780621267830,"[2026-06-05 01:01:07,130] INFO: [worker stdout] [2026-06-05 01:01:07,130] INFO: 聚合中 | service=notif-svc | window=2026-06-04T03:00:00Z | count=1141 | p50_ms=49 | p99_ms=201 | err_rate=0.039
"
